"","CountryCode","CountryName","AverageGDP","AverageCtrpt","AverageGrowthRate","AverageFertility","latitude","longitude"
"82","SLV","El Salvador",7928.80571697503,72,0.286428571428571,1.99685714285714,13.8333,-88.9167
"83","SRB","Serbia",13544.8022278832,59.6,-0.462571428571429,1.41268571428571,44,21
"84","STP","Sao Tome and Principe",2929.38961141315,40.6,1.94314285714286,4.80657142857143,1,7
"85","SUR","Suriname",15129.9430603076,47.6,1.18185714285714,2.044,4,-56
"86","SWZ","Swaziland",8013.47803513892,65.65,1.16171428571429,2.95915714285714,-26.5,31.5
"87","TCD","Chad",2031.01986239152,5.25,1.95142857142857,4.80514285714286,15,19
"88","TGO","Togo",1342.01369603475,17.55,2.72442857142857,4.58398571428571,8,1.1667
"89","THA","Thailand",15138.0282035295,79.3,0.365428571428571,1.49747142857143,15,100
"90","TJK","Tajikistan",2545.87448070099,27.9,1.77585714285714,2.80285714285714,39,71
"91","TKM","Turkmenistan",13765.3716083357,50.2,1.14128571428571,2.12571428571429,40,60
"92","TON","Tonga",5280.70908105535,34.1,0.139,3.45885714285714,-20,-175
"93","TUN","Tunisia",10943.9355649029,62.5,0.936714285714285,2.00877142857143,34,9
"94","TUR","Turkey",21806.7564009758,73.5,1.17128571428571,2.10314285714286,39,35
"95","TZA","United Republic of Tanzania",2433.47700383142,38.4,2.83228571428571,5.01428571428571,-6,35
"96","UGA","Uganda",1706.44284867608,32.68,3.25842857142857,6.05714285714286,1,32
"97","UKR","Ukraine",8246.88776879928,65.4,-0.551714285714286,1.51221428571429,49,32
"98","USA","United States of America",53203.9909653428,74.1,0.775166666666667,1.86785830274094,38,-97
"99","VNM","Viet Nam",5421.17887336717,76.9857142857143,1.02614285714286,1.87114285714286,16,106
"100","VNM","Viet Nam",5421.17887336717,76.9857142857143,1.02614285714286,1.87114285714286,16,106
"101","VUT","Vanuatu",2985.21464746889,49,2.063,3.46828571428571,-16,167
"102","WSM","Samoa",5784.77785778239,26.9,0.591428571428571,3.036,-13.5833,-172.3333
"103","YEM","Yemen",3581.54586034141,33.5,2.74142857142857,4.27542857142857,15,48
"104","ZMB","Zambia",3647.70592709374,49,2.89342857142857,5.80792857142857,-15,30
"105","ZWE","Zimbabwe",1848.61926194122,64.0666666666667,3.539,3.582,-20,30
